date,total_trips,avg_trip_time_in_minutes
01-01-2020,2141,28.25
01-02-2020,6479,20.71
01-03-2020,5890,12.69
01-04-2020,3187,30.31
01-05-2020,3035,30.38
01-06-2020,7073,18.28
01-07-2020,7297,12.89
01-08-2020,5449,11.06
01-09-2020,6804,36.22
01-10-2020,5697,25.89
01-11-2020,965,14.6
01-12-2020,1766,14.4
01-13-2020,6155,11.69
01-14-2020,7067,14.04
01-15-2020,6933,26.18
01-16-2020,5495,11.4
01-17-2020,3858,14.18
01-18-2020,1076,18.66
01-19-2020,895,24.87
01-20-2020,2932,44.45
01-21-2020,5187,11.66
01-22-2020,5514,16.7
01-23-2020,3613,37.76
01-24-2020,3657,17.72
01-25-2020,1728,31.23
01-26-2020,2542,53.43
01-27-2020,6314,12.0
01-28-2020,6676,14.21
01-29-2020,6455,13.44
01-30-2020,6576,11.89
01-31-2020,5428,14.51
02-01-2020,3204,49.54
02-02-2020,5417,65.45
02-03-2020,7278,12.13
02-04-2020,6162,12.29
02-05-2020,5371,11.53
02-06-2020,3247,26.5
02-07-2020,5247,13.86
02-08-2020,3239,40.6
02-09-2020,1817,73.22
02-10-2020,6328,20.2
02-11-2020,6472,28.06
02-12-2020,4913,12.67
02-13-2020,3035,17.47
02-14-2020,2993,14.67
02-15-2020,1842,18.76
02-16-2020,2930,23.68
02-17-2020,3605,12.39
02-18-2020,6618,19.73
02-19-2020,5730,12.62
02-20-2020,4903,11.31
02-21-2020,5509,17.4
02-22-2020,5455,50.02
02-23-2020,7765,36.83
02-24-2020,6723,11.29
02-25-2020,4986,11.66
02-26-2020,4107,12.05
02-27-2020,5704,11.56
02-28-2020,5348,46.71
02-29-2020,3637,19.8
03-01-2020,7413,35.95
03-02-2020,8335,25.14
03-03-2020,8218,12.74
03-04-2020,8396,13.65
03-05-2020,8269,14.78
03-06-2020,6138,13.79
03-07-2020,6703,25.9
03-08-2020,11170,35.91
03-09-2020,4505,13.75
03-10-2020,7827,14.08
03-11-2020,7631,14.31
03-12-2020,8349,17.5
03-13-2020,7077,19.23
03-14-2020,2979,28.65
03-15-2020,3318,33.41
03-16-2020,3626,15.97
03-17-2020,4398,20.69
03-18-2020,2110,17.84
03-19-2020,2002,31.75
03-20-2020,2331,21.78
03-21-2020,2126,31.74
03-22-2020,1321,39.21
03-23-2020,1966,26.44
03-24-2020,2431,28.71
03-25-2020,5161,39.19
03-26-2020,1664,44.15
03-27-2020,1490,105.63
03-28-2020,1443,24.92
03-29-2020,1461,25.25
03-30-2020,1938,19.14
03-31-2020,1622,48.72
